spot_id,payment_id,payment_app,name,address,street_side,neighborhood,municipality,type,ownership,lat,lon,pricing_summary,space_count,capacity,permit_zone,snow_emergency_tow,accessible,accessible_spaces,accessible_type,ev_charging,ev_charger_count,ev_network,source,source_date,last_updated,data_completeness
cambridge_meter_STA-0055,1559,PayByPhone,STA-0055,,unknown,Kendall Square,Cambridge,on_street_meter,public,42.362505739587434,-71.09578110134824,Mon-Sat 08:00-20:00 $2.00/hr (3 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_CAMB-1253,2505,PayByPhone,CAMB-1253,,unknown,Inman Square,Cambridge,on_street_meter,public,42.37348739252867,-71.09848701493563,Mon-Sat 08:00-18:00 $1.25/hr (3 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_CAMB-1255,2505,PayByPhone,CAMB-1255,,unknown,Inman Square,Cambridge,on_street_meter,public,42.37349725314594,-71.0985609988825,Mon-Sat 08:00-18:00 $1.25/hr (3 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_CAMB-1433,2504,PayByPhone,CAMB-1433,,unknown,Central Square,Cambridge,on_street_meter,public,42.373966839482705,-71.10237627792561,Mon-Sat 08:00-18:00 $1.25/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_ROG-0014,2476,PayByPhone,ROG-0014,,unknown,Cambridge,Cambridge,on_street_meter,public,42.36593434381334,-71.07867464576098,Mon-Sat 08:00-18:00 $2.00/hr (3 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_MASS-2318,2529,PayByPhone,MASS-2318,,unknown,North Cambridge,Cambridge,on_street_meter,public,42.395629512179056,-71.12839480090615,Mon-Sat 08:00-18:00 $1.00/hr (3 Hours max),1,,,False,True,2,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_BENT-0170,2477,PayByPhone,BENT-0170,,unknown,Cambridge,Cambridge,on_street_meter,public,42.36705742977471,-71.08185586352757,Mon-Sat 08:00-18:00 $2.00/hr,1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_BENT-0172,2477,PayByPhone,BENT-0172,,unknown,Cambridge,Cambridge,on_street_meter,public,42.36706534334352,-71.08192247694414,Mon-Sat 08:00-18:00 $2.00/hr,1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_BENT-0174,2477,PayByPhone,BENT-0174,,unknown,Cambridge,Cambridge,on_street_meter,public,42.367073914441356,-71.08199060505214,Mon-Sat 08:00-18:00 $2.00/hr,1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_BENT-0176,2477,PayByPhone,BENT-0176,,unknown,Kendall Square,Cambridge,on_street_meter,public,42.36708230037137,-71.08205857135206,Mon-Sat 08:00-18:00 $2.00/hr,1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_BENT-0178,2477,PayByPhone,BENT-0178,,unknown,Kendall Square,Cambridge,on_street_meter,public,42.3670917136287,-71.0821242858869,Mon-Sat 08:00-18:00 $2.00/hr,1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_BENT-0180,2477,PayByPhone,BENT-0180,,unknown,Kendall Square,Cambridge,on_street_meter,public,42.36710048257857,-71.08219214584996,Mon-Sat 08:00-18:00 $2.00/hr,1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_BENT-0182,2477,PayByPhone,BENT-0182,,unknown,Kendall Square,Cambridge,on_street_meter,public,42.367108508887924,-71.08226034099872,Mon-Sat 08:00-18:00 $2.00/hr,1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_UNIV-0002,6790,PayByPhone,UNIV-0002,,unknown,Harvard Square,Cambridge,on_street_meter,public,42.373170622838096,-71.12303000655103,Mon-Sat 08:00-20:00 $2.00/hr (3 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_UNIV-0008,6790,PayByPhone,UNIV-0008,,unknown,Harvard Square,Cambridge,on_street_meter,public,42.37301139604169,-71.1231355032692,Mon-Sat 08:00-20:00 $2.00/hr (3 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
